sample_name,sample_title,bioproject_accession,organism,isolate,breed,host,isolation_source,collection_date,geo_loc_name,tissue
NBBT10,Nesticus.barri_Buggytop_10,,Nesticus barri,10,Nesticus barri from Buggytop,,Buggytop cave,2018-10,USA: Franklin County TN,cephalothorax
NBBT11,Nesticus.barri_Buggytop_11,,Nesticus barri,11,Nesticus barri from Buggytop,,Buggytop cave,2018-10,USA: Franklin County TN,cephalothorax
NBBT12,Nesticus.barri_Buggytop_12,,Nesticus barri,12,Nesticus barri from Buggytop,,Buggytop cave,2018-10,USA: Franklin County TN,cephalothorax
NBBT13,Nesticus.barri_Buggytop_13,,Nesticus barri,13,Nesticus barri from Buggytop,,Buggytop cave,2018-10,USA: Franklin County TN,cephalothorax
NBBT14,Nesticus.barri_Buggytop_14,,Nesticus barri,14,Nesticus barri from Buggytop,,Buggytop cave,2018-10,USA: Franklin County TN,cephalothorax
NBBT15,Nesticus.barri_Buggytop_15,,Nesticus barri,15,Nesticus barri from Buggytop,,Buggytop cave,2018-10,USA: Franklin County TN,cephalothorax
NBBT16,Nesticus.barri_Buggytop_16,,Nesticus barri,16,Nesticus barri from Buggytop,,Buggytop cave,2018-10,USA: Franklin County TN,cephalothorax
NBBT17,Nesticus.barri_Buggytop_17,,Nesticus barri,17,Nesticus barri from Buggytop,,Buggytop cave,2018-10,USA: Franklin County TN,cephalothorax
NBBT1,Nesticus.barri_Buggytop_1,,Nesticus barri,1,Nesticus barri from Buggytop,,Buggytop cave,2018-10,USA: Franklin County TN,cephalothorax
NBBT2,Nesticus.barri_Buggytop_2,,Nesticus barri,2,Nesticus barri from Buggytop,,Buggytop cave,2018-10,USA: Franklin County TN,cephalothorax
NBBT3,Nesticus.barri_Buggytop_3,,Nesticus barri,3,Nesticus barri from Buggytop,,Buggytop cave,2018-10,USA: Franklin County TN,cephalothorax
NBBT4,Nesticus.barri_Buggytop_4,,Nesticus barri,4,Nesticus barri from Buggytop,,Buggytop cave,2018-10,USA: Franklin County TN,cephalothorax
NBBT5,Nesticus.barri_Buggytop_5,,Nesticus barri,5,Nesticus barri from Buggytop,,Buggytop cave,2018-10,USA: Franklin County TN,cephalothorax
NBBT6,Nesticus.barri_Buggytop_6,,Nesticus barri,6,Nesticus barri from Buggytop,,Buggytop cave,2018-10,USA: Franklin County TN,cephalothorax
NBBT7,Nesticus.barri_Buggytop_7,,Nesticus barri,7,Nesticus barri from Buggytop,,Buggytop cave,2018-10,USA: Franklin County TN,cephalothorax
NBBT9,Nesticus.barri_Buggytop_9,,Nesticus barri,9,Nesticus barri from Buggytop,,Buggytop cave,2018-10,USA: Franklin County TN,cephalothorax
NBGV10,Nesticus.barri_Grapevine_10,,Nesticus barri,10,Nesticus barri from Grapevine,,Grapevine cave,2018-09,USA: Franklin County TN,cephalothorax
NBGV11,Nesticus.barri_Grapevine_11,,Nesticus barri,11,Nesticus barri from Grapevine,,Grapevine cave,2018-09,USA: Franklin County TN,cephalothorax
NBGV1,Nesticus.barri_Grapevine_1,,Nesticus barri,1,Nesticus barri from Grapevine,,Grapevine cave,2018-09,USA: Franklin County TN,cephalothorax
NBGV2,Nesticus.barri_Grapevine_2,,Nesticus barri,2,Nesticus barri from Grapevine,,Grapevine cave,2018-09,USA: Franklin County TN,cephalothorax
NBGV3,Nesticus.barri_Grapevine_3,,Nesticus barri,3,Nesticus barri from Grapevine,,Grapevine cave,2018-09,USA: Franklin County TN,cephalothorax
NBGV4,Nesticus.barri_Grapevine_4,,Nesticus barri,4,Nesticus barri from Grapevine,,Grapevine cave,2018-09,USA: Franklin County TN,cephalothorax
NBGV5,Nesticus.barri_Grapevine_5,,Nesticus barri,5,Nesticus barri from Grapevine,,Grapevine cave,2018-09,USA: Franklin County TN,cephalothorax
NBGV7,Nesticus.barri_Grapevine_7,,Nesticus barri,7,Nesticus barri from Grapevine,,Grapevine cave,2018-09,USA: Franklin County TN,cephalothorax
NBGV8,Nesticus.barri_Grapevine_8,,Nesticus barri,8,Nesticus barri from Grapevine,,Grapevine cave,2018-09,USA: Franklin County TN,cephalothorax
NBGV9,Nesticus.barri_Grapevine_9,,Nesticus barri,9,Nesticus barri from Grapevine,,Grapevine cave,2018-09,USA: Franklin County TN,cephalothorax
NBSB1,Nesticus.barri_SewaneeBlowhole_1,,Nesticus barri,1,Nesticus barri from SewaneeBlowhole,,SewaneeBlowhole cave,2018-10,USA: Franklin County TN,cephalothorax
NBSB1rep,Nesticus.barri_SewaneeBlowhole_1rep,,Nesticus barri,1rep,Nesticus barri from SewaneeBlowhole,,SewaneeBlowhole cave,2018-10,USA: Franklin County TN,cephalothorax
NBSB2,Nesticus.barri_SewaneeBlowhole_2,,Nesticus barri,2,Nesticus barri from SewaneeBlowhole,,SewaneeBlowhole cave,2018-10,USA: Franklin County TN,cephalothorax
NBSB2rep,Nesticus.barri_SewaneeBlowhole_2rep,,Nesticus barri,2rep,Nesticus barri from SewaneeBlowhole,,SewaneeBlowhole cave,2018-10,USA: Franklin County TN,cephalothorax
NBSB3,Nesticus.barri_SewaneeBlowhole_3,,Nesticus barri,3,Nesticus barri from SewaneeBlowhole,,SewaneeBlowhole cave,2018-10,USA: Franklin County TN,cephalothorax
NBSB4,Nesticus.barri_SewaneeBlowhole_4,,Nesticus barri,4,Nesticus barri from SewaneeBlowhole,,SewaneeBlowhole cave,2018-10,USA: Franklin County TN,cephalothorax
NBSB4rep,Nesticus.barri_SewaneeBlowhole_4rep,,Nesticus barri,4rep,Nesticus barri from SewaneeBlowhole,,SewaneeBlowhole cave,2018-10,USA: Franklin County TN,cephalothorax
NBSB5,Nesticus.barri_SewaneeBlowhole_5,,Nesticus barri,5,Nesticus barri from SewaneeBlowhole,,SewaneeBlowhole cave,2018-10,USA: Franklin County TN,cephalothorax
NBSB6,Nesticus.barri_SewaneeBlowhole_6,,Nesticus barri,6,Nesticus barri from SewaneeBlowhole,,SewaneeBlowhole cave,2018-10,USA: Franklin County TN,cephalothorax
NBSB6rep,Nesticus.barri_SewaneeBlowhole_6rep,,Nesticus barri,6rep,Nesticus barri from SewaneeBlowhole,,SewaneeBlowhole cave,2018-10,USA: Franklin County TN,cephalothorax
NBSB7,Nesticus.barri_SewaneeBlowhole_7,,Nesticus barri,7,Nesticus barri from SewaneeBlowhole,,SewaneeBlowhole cave,2018-10,USA: Franklin County TN,cephalothorax
NBSB8,Nesticus.barri_SewaneeBlowhole_8,,Nesticus barri,8,Nesticus barri from SewaneeBlowhole,,SewaneeBlowhole cave,2018-10,USA: Franklin County TN,cephalothorax
NBSB9,Nesticus.barri_SewaneeBlowhole_9,,Nesticus barri,9,Nesticus barri from SewaneeBlowhole,,SewaneeBlowhole cave,2018-10,USA: Franklin County TN,cephalothorax
NBST10,Nesticus.barri_SolomonsTemple_10,,Nesticus barri,10,Nesticus barri from SolomonsTemple,,SolomonsTemple cave,2018-10,USA: Franklin County TN,cephalothorax
NBST11,Nesticus.barri_SolomonsTemple_11,,Nesticus barri,11,Nesticus barri from SolomonsTemple,,SolomonsTemple cave,2018-10,USA: Franklin County TN,cephalothorax
NBST12,Nesticus.barri_SolomonsTemple_12,,Nesticus barri,12,Nesticus barri from SolomonsTemple,,SolomonsTemple cave,2018-10,USA: Franklin County TN,cephalothorax
NBST13,Nesticus.barri_SolomonsTemple_13,,Nesticus barri,13,Nesticus barri from SolomonsTemple,,SolomonsTemple cave,2018-10,USA: Franklin County TN,cephalothorax
NBST1,Nesticus.barri_SolomonsTemple_1,,Nesticus barri,1,Nesticus barri from SolomonsTemple,,SolomonsTemple cave,2018-10,USA: Franklin County TN,cephalothorax
NBST2,Nesticus.barri_SolomonsTemple_2,,Nesticus barri,2,Nesticus barri from SolomonsTemple,,SolomonsTemple cave,2018-10,USA: Franklin County TN,cephalothorax
NBST3,Nesticus.barri_SolomonsTemple_3,,Nesticus barri,3,Nesticus barri from SolomonsTemple,,SolomonsTemple cave,2018-10,USA: Franklin County TN,cephalothorax
NBST4,Nesticus.barri_SolomonsTemple_4,,Nesticus barri,4,Nesticus barri from SolomonsTemple,,SolomonsTemple cave,2018-10,USA: Franklin County TN,cephalothorax
NBST5,Nesticus.barri_SolomonsTemple_5,,Nesticus barri,5,Nesticus barri from SolomonsTemple,,SolomonsTemple cave,2018-10,USA: Franklin County TN,cephalothorax
NBST6,Nesticus.barri_SolomonsTemple_6,,Nesticus barri,6,Nesticus barri from SolomonsTemple,,SolomonsTemple cave,2018-10,USA: Franklin County TN,cephalothorax
NBST7,Nesticus.barri_SolomonsTemple_7,,Nesticus barri,7,Nesticus barri from SolomonsTemple,,SolomonsTemple cave,2018-10,USA: Franklin County TN,cephalothorax
NBST8,Nesticus.barri_SolomonsTemple_8,,Nesticus barri,8,Nesticus barri from SolomonsTemple,,SolomonsTemple cave,2018-10,USA: Franklin County TN,cephalothorax
NBST8rep,Nesticus.barri_SolomonsTemple_8rep,,Nesticus barri,8rep,Nesticus barri from SolomonsTemple,,SolomonsTemple cave,2018-10,USA: Franklin County TN,cephalothorax
NBST9,Nesticus.barri_SolomonsTemple_9,,Nesticus barri,9,Nesticus barri from SolomonsTemple,,SolomonsTemple cave,2018-10,USA: Franklin County TN,cephalothorax
NBST9rep,Nesticus.barri_SolomonsTemple_9rep,,Nesticus barri,9rep,Nesticus barri from SolomonsTemple,,SolomonsTemple cave,2018-10,USA: Franklin County TN,cephalothorax
PHBT10,Ptomaphagus.hatchi_Buggytop_10,,Ptomaphagus hatchi,10,Ptomaphagus hatchi from Buggytop,,Buggytop cave,2018-10,USA: Franklin County TN,entire beetle
PHBT12,Ptomaphagus.hatchi_Buggytop_12,,Ptomaphagus hatchi,12,Ptomaphagus hatchi from Buggytop,,Buggytop cave,2018-10,USA: Franklin County TN,entire beetle
PHBT2,Ptomaphagus.hatchi_Buggytop_2,,Ptomaphagus hatchi,2,Ptomaphagus hatchi from Buggytop,,Buggytop cave,2018-10,USA: Franklin County TN,entire beetle
PHBT3,Ptomaphagus.hatchi_Buggytop_3,,Ptomaphagus hatchi,3,Ptomaphagus hatchi from Buggytop,,Buggytop cave,2018-10,USA: Franklin County TN,entire beetle
PHBT4,Ptomaphagus.hatchi_Buggytop_4,,Ptomaphagus hatchi,4,Ptomaphagus hatchi from Buggytop,,Buggytop cave,2018-10,USA: Franklin County TN,entire beetle
PHBT5,Ptomaphagus.hatchi_Buggytop_5,,Ptomaphagus hatchi,5,Ptomaphagus hatchi from Buggytop,,Buggytop cave,2018-10,USA: Franklin County TN,entire beetle
PHBT7,Ptomaphagus.hatchi_Buggytop_7,,Ptomaphagus hatchi,7,Ptomaphagus hatchi from Buggytop,,Buggytop cave,2018-10,USA: Franklin County TN,entire beetle
PHBT9,Ptomaphagus.hatchi_Buggytop_9,,Ptomaphagus hatchi,9,Ptomaphagus hatchi from Buggytop,,Buggytop cave,2018-10,USA: Franklin County TN,entire beetle
PHGV11,Ptomaphagus.hatchi_Grapevine_11,,Ptomaphagus hatchi,11,Ptomaphagus hatchi from Grapevine,,Grapevine cave,2018-09,USA: Franklin County TN,entire beetle
PHGV12,Ptomaphagus.hatchi_Grapevine_12,,Ptomaphagus hatchi,12,Ptomaphagus hatchi from Grapevine,,Grapevine cave,2018-09,USA: Franklin County TN,entire beetle
PHGV13,Ptomaphagus.hatchi_Grapevine_13,,Ptomaphagus hatchi,13,Ptomaphagus hatchi from Grapevine,,Grapevine cave,2018-09,USA: Franklin County TN,entire beetle
PHGV14,Ptomaphagus.hatchi_Grapevine_14,,Ptomaphagus hatchi,14,Ptomaphagus hatchi from Grapevine,,Grapevine cave,2018-09,USA: Franklin County TN,entire beetle
PHGV1,Ptomaphagus.hatchi_Grapevine_1,,Ptomaphagus hatchi,1,Ptomaphagus hatchi from Grapevine,,Grapevine cave,2018-09,USA: Franklin County TN,entire beetle
PHGV2,Ptomaphagus.hatchi_Grapevine_2,,Ptomaphagus hatchi,2,Ptomaphagus hatchi from Grapevine,,Grapevine cave,2018-09,USA: Franklin County TN,entire beetle
PHGV3,Ptomaphagus.hatchi_Grapevine_3,,Ptomaphagus hatchi,3,Ptomaphagus hatchi from Grapevine,,Grapevine cave,2018-09,USA: Franklin County TN,entire beetle
PHGV4,Ptomaphagus.hatchi_Grapevine_4,,Ptomaphagus hatchi,4,Ptomaphagus hatchi from Grapevine,,Grapevine cave,2018-09,USA: Franklin County TN,entire beetle
PHGV5,Ptomaphagus.hatchi_Grapevine_5,,Ptomaphagus hatchi,5,Ptomaphagus hatchi from Grapevine,,Grapevine cave,2018-09,USA: Franklin County TN,entire beetle
PHGV6,Ptomaphagus.hatchi_Grapevine_6,,Ptomaphagus hatchi,6,Ptomaphagus hatchi from Grapevine,,Grapevine cave,2018-09,USA: Franklin County TN,entire beetle
PHGV7,Ptomaphagus.hatchi_Grapevine_7,,Ptomaphagus hatchi,7,Ptomaphagus hatchi from Grapevine,,Grapevine cave,2018-09,USA: Franklin County TN,entire beetle
PHGV8,Ptomaphagus.hatchi_Grapevine_8,,Ptomaphagus hatchi,8,Ptomaphagus hatchi from Grapevine,,Grapevine cave,2018-09,USA: Franklin County TN,entire beetle
PHGV9,Ptomaphagus.hatchi_Grapevine_9,,Ptomaphagus hatchi,9,Ptomaphagus hatchi from Grapevine,,Grapevine cave,2018-09,USA: Franklin County TN,entire beetle
PHSB1,Ptomaphagus.hatchi_SewaneeBlowhole_1,,Ptomaphagus hatchi,1,Ptomaphagus hatchi from SewaneeBlowhole,,SewaneeBlowhole cave,2018-10,USA: Franklin County TN,entire beetle
PHSB2,Ptomaphagus.hatchi_SewaneeBlowhole_2,,Ptomaphagus hatchi,2,Ptomaphagus hatchi from SewaneeBlowhole,,SewaneeBlowhole cave,2018-10,USA: Franklin County TN,entire beetle
PHSB3,Ptomaphagus.hatchi_SewaneeBlowhole_3,,Ptomaphagus hatchi,3,Ptomaphagus hatchi from SewaneeBlowhole,,SewaneeBlowhole cave,2018-10,USA: Franklin County TN,entire beetle
PHSB4,Ptomaphagus.hatchi_SewaneeBlowhole_4,,Ptomaphagus hatchi,4,Ptomaphagus hatchi from SewaneeBlowhole,,SewaneeBlowhole cave,2018-10,USA: Franklin County TN,entire beetle
PHSB5,Ptomaphagus.hatchi_SewaneeBlowhole_5,,Ptomaphagus hatchi,5,Ptomaphagus hatchi from SewaneeBlowhole,,SewaneeBlowhole cave,2018-10,USA: Franklin County TN,entire beetle
PHSB7,Ptomaphagus.hatchi_SewaneeBlowhole_7,,Ptomaphagus hatchi,7,Ptomaphagus hatchi from SewaneeBlowhole,,SewaneeBlowhole cave,2018-10,USA: Franklin County TN,entire beetle
PHSB9,Ptomaphagus.hatchi_SewaneeBlowhole_9,,Ptomaphagus hatchi,9,Ptomaphagus hatchi from SewaneeBlowhole,,SewaneeBlowhole cave,2018-10,USA: Franklin County TN,entire beetle
PHST10,Ptomaphagus.hatchi_SolomonsTemple_10,,Ptomaphagus hatchi,10,Ptomaphagus hatchi from SolomonsTemple,,SolomonsTemple cave,2018-10,USA: Franklin County TN,entire beetle
PHST1,Ptomaphagus.hatchi_SolomonsTemple_1,,Ptomaphagus hatchi,1,Ptomaphagus hatchi from SolomonsTemple,,SolomonsTemple cave,2018-10,USA: Franklin County TN,entire beetle
PHST2,Ptomaphagus.hatchi_SolomonsTemple_2,,Ptomaphagus hatchi,2,Ptomaphagus hatchi from SolomonsTemple,,SolomonsTemple cave,2018-10,USA: Franklin County TN,entire beetle
PHST3,Ptomaphagus.hatchi_SolomonsTemple_3,,Ptomaphagus hatchi,3,Ptomaphagus hatchi from SolomonsTemple,,SolomonsTemple cave,2018-10,USA: Franklin County TN,entire beetle
PHST5,Ptomaphagus.hatchi_SolomonsTemple_5,,Ptomaphagus hatchi,5,Ptomaphagus hatchi from SolomonsTemple,,SolomonsTemple cave,2018-10,USA: Franklin County TN,entire beetle
PHST7,Ptomaphagus.hatchi_SolomonsTemple_7,,Ptomaphagus hatchi,7,Ptomaphagus hatchi from SolomonsTemple,,SolomonsTemple cave,2018-10,USA: Franklin County TN,entire beetle
